Time,Close,Open,High,Low
2020.8.4,56.33,56.27,56.78,55.78
2020.8.3,56.57,55.69,56.82,55.57
2020.7.31,55.28,55.06,55.83,54.33
2020.7.30,54.72,54.00,54.94,53.73
2020.7.29,54.53,55.19,56.04,53.66
2020.7.28,56.35,57.11,57.34,56.11
2020.7.27,57.23,55.73,57.38,55.53
2020.7.24,55.12,55.02,55.36,54.04
2020.7.23,55.15,56.44,56.82,54.86
2020.7.22,56.34,56.67,57.43,56.13
2020.7.21,56.59,59.08,59.55,55.69
2020.7.20,58.47,58.71,58.80,57.77
2020.7.17,58.13,58.93,59.11,57.78
2020.7.16,58.65,57.90,58.92,57.90
2020.7.15,58.39,58.82,59.13,57.24
2020.7.14,59.08,57.75,59.29,57.28
2020.7.13,58.30,60.29,61.06,57.89
2020.7.10,59.27,59.35,59.89,58.12
2020.7.9,59.22,58.73,60.53,58.52
2020.7.8,58.27,57.35,58.46,57.16
2020.7.7,57.00,55.96,57.55,55.93
2020.7.6,56.17,55.49,56.97,54.94
2020.7.2,54.36,53.59,54.88,53.55
2020.7.1,52.96,52.71,53.43,51.32
2020.6.30,52.45,51.42,52.75,51.32
2020.6.29,51.31,51.07,51.34,50.12
2020.6.26,50.89,50.89,51.28,50.08
2020.6.25,49.40,48.72,49.54,48.41
2020.6.24,48.77,49.80,50.45,48.65
2020.6.23,49.80,49.59,50.32,49.10
2020.6.22,49.16,48.34,49.32,48.01
2020.6.19,48.29,48.73,48.95,47.42
2020.6.18,48.44,48.55,49.09,48.18
2020.6.17,48.43,48.26,49.10,48.21
2020.6.16,48.12,48.49,48.73,47.54
2020.6.15,47.89,46.94,48.12,46.64
2020.6.12,47.66,48.39,48.83,46.85
2020.6.11,47.94,49.43,49.82,47.69
2020.6.10,49.25,50.25,50.34,49.07
2020.6.9,49.75,48.87,50.00,48.57
2020.6.8,48.72,48.30,49.05,47.84
2020.6.5,48.82,49.24,49.70,48.24
2020.6.4,49.36,51.34,51.88,48.80
2020.6.3,46.45,46.35,46.72,46.08
2020.6.2,45.98,45.24,46.23,45.14
2020.6.1,45.20,45.40,45.97,45.01
2020.5.29,45.54,44.30,45.65,43.88
2020.5.28,44.23,44.14,44.98,44.01
2020.5.27,44.15,43.30,44.18,42.86
2020.5.26,43.36,43.99,44.28,43.31
2020.5.22,43.45,42.25,43.50,42.21
2020.5.21,42.47,42.75,42.93,42.24
2020.5.20,42.71,43.00,43.34,42.44
2020.5.19,42.40,42.46,43.18,42.39
2020.5.18,42.50,42.60,42.90,42.33
2020.5.15,42.11,41.46,42.47,41.38
2020.5.14,42.04,41.31,42.09,40.81
2020.5.13,41.58,41.78,42.38,41.05
2020.5.12,42.00,42.24,42.86,41.78
2020.5.11,42.13,41.88,42.43,41.60
2020.5.8,42.15,41.70,42.44,41.70
2020.5.7,41.37,41.27,41.61,41.06
2020.5.6,40.95,40.64,41.09,40.19
2020.5.5,40.32,39.92,40.76,39.77
2020.5.4,39.83,39.28,39.87,39.06
2020.5.1,39.25,38.78,39.47,38.34
2020.4.30,39.83,37.63,39.96,37.55
2020.4.29,39.03,39.45,39.75,38.84
2020.4.28,39.08,39.59,39.90,38.91
2020.4.27,39.63,40.04,40.36,39.56
2020.4.24,39.35,38.85,39.53,38.27
2020.4.23,37.91,38.46,38.84,37.66
2020.4.22,38.25,38.15,38.48,37.92
2020.4.21,37.61,37.51,38.23,37.31
2020.4.20,37.64,37.47,38.32,37.28
2020.4.17,37.46,37.45,37.64,36.99
2020.4.16,37.22,36.53,37.37,36.29
2020.4.15,36.19,35.31,36.41,35.08
2020.4.14,35.74,35.45,35.98,35.27
2020.4.13,34.76,34.29,35.08,33.96
2020.4.9,33.83,33.40,34.10,33.37
2020.4.8,33.01,31.85,33.08,31.80
2020.4.7,31.62,32.08,32.22,31.56
2020.4.6,31.18,30.67,31.32,30.28
2020.4.3,29.41,29.15,29.67,28.80
2020.4.2,29.19,28.32,29.41,28.30
2020.4.1,28.78,29.34,29.75,28.48
2020.3.31,30.06,31.03,31.18,29.94
2020.3.30,31.19,30.62,31.54,30.02
2020.3.27,30.18,29.53,30.87,29.38
2020.3.26,30.16,28.48,30.27,28.48
2020.3.25,28.37,27.66,29.48,27.12
2020.3.24,27.67,27.37,27.88,26.24
2020.3.23,26.34,27.25,27.64,26.02
2020.3.20,27.58,29.50,30.20,27.21
2020.3.19,29.60,31.47,31.49,29.45
2020.3.18,31.30,31.62,32.86,30.20
2020.3.17,33.28,32.76,33.94,32.32
2020.3.16,32.24,30.88,33.35,30.58
