Gmt time,Open,High,Low,Close
15.02.2021 20:04:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:05:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:06:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:07:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:08:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:09:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:10:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:11:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:12:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:13:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:14:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:15:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:16:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:17:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:18:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:19:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:20:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:21:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:22:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:23:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:24:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:25:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:26:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:27:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:28:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:29:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:30:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:31:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:32:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:33:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:34:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:35:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:36:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:37:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:38:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:39:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:40:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:41:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:42:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:43:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:44:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:45:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:46:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:47:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:48:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:49:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:50:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:51:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:52:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:53:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:54:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:55:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:56:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:57:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:58:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:59:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:00:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:01:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:02:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:03:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:04:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:05:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:06:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:07:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:08:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:09:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:10:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:11:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:12:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:13:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:14:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:15:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:16:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:17:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:18:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:19:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:20:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:21:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:22:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:23:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:24:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:25:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:26:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:27:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:28:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:29:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:30:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:31:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:32:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:33:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:34:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:35:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:36:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:37:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:38:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:39:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:40:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:41:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:42:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:43:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:44:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:45:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:46:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:47:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:48:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:49:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:50:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:51:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:52:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:53:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:54:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:55:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:56:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:57:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:58:00.000,16.417,16.417,16.417,16.417
15.02.2021 21:59:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:00:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:01:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:02:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:03:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:04:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:05:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:06:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:07:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:08:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:09:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:10:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:11:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:12:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:13:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:14:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:15:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:16:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:17:00.000,16.417,16.417,16.417,16.417
