Time,Close,Volume,Open,High,Low
2013.9.20,316.34,5301376,312.54,320.57,312.41
2013.9.19,312.06,2350846,313.77,314.54,311.04
2013.9.18,312.03,2945713,304.06,312.74,302.91
2013.9.17,304.17,2296540,297.63,304.65,296.01
2013.9.16,296.06,1814278,299.82,301,295.26
2013.9.13,297.92,1350645,300.14,300.22,296.2
2013.9.12,298.86,1606193,299.39,302,297.66
2013.9.11,299.64,1742577,298.91,301.86,297.84
2013.9.10,300.36,1776500,300.55,301,297.22
2013.9.9,299.71,1627053,297.22,299.96,296.6
2013.9.6,295.86,2291361,295.33,298.88,290.8
2013.9.5,294.1,1816615,293.63,297,292.71
2013.9.4,293.64,2438051,288.33,295.23,287.58
2013.9.3,288.8,2897569,284.73,291.39,284.17
2013.8.30,280.98,1534706,284.59,284.87,280
2013.8.29,283.98,1566414,281.45,285.98,280
2013.8.28,281.58,1457146,280.36,283,279.33
2013.8.27,280.93,2475209,283.87,285.28,279.74
2013.8.26,286.21,1717000,290.43,291.05,285.62
2013.8.23,290.01,1967485,291.21,291.5,287.9
2013.8.22,289.73,1422586,284.8,289.87,284.8
2013.8.21,284.57,1815071,285.09,288.5,283.83
2013.8.20,287.09,1585260,285.88,289.52,285.74
2013.8.19,285.57,2477429,285.19,289.56,283.48
2013.8.16,284.82,2419819,286.55,288.33,284.5
2013.8.15,286.47,2261393,288.79,289.3,285.15
2013.8.14,291.34,1414671,294.29,294.29,290.54
2013.8.13,293.97,2349902,295.88,296.37,290.67
2013.8.12,296.69,1504525,295.79,299.08,295.26
2013.8.9,297.26,1950286,295.68,299.27,294.3
2013.8.8,295.74,2343430,298.52,298.52,292.55
2013.8.7,296.91,1960889,300.15,300.99,296.15
2013.8.6,300.75,1848951,300.51,301.36,297.52
2013.8.5,300.99,2232858,303.4,303.62,298.3
2013.8.2,304.21,2502646,304.63,305.33,301.5
2013.8.1,305.57,2965318,303.08,306.21,298.91
2013.7.31,301.22,1891314,303.91,305.15,301
2013.7.30,302.41,3053425,307.72,309.78,301.57
2013.7.29,306.1,3211811,311.07,313,305.9
2013.7.26,312.01,8815447,299.55,313.62,295.55
2013.7.25,303.4,5368682,299,304.5,296.75
2013.7.24,298.94,1999034,303.02,303.84,298.04
2013.7.23,301.06,1999094,303.16,305.06,300.56
2013.7.22,303.48,2520563,309.25,309.25,302
2013.7.19,305.23,2962549,304.39,305.79,301.91
2013.7.18,304.11,3058835,306.27,306.34,301.87
2013.7.17,308.69,2028181,306.97,308.8,305.69
2013.7.16,306.87,2658650,307.3,309.39,305.51
2013.7.15,306.57,2245087,307.27,307.99,304.35
2013.7.12,307.55,4538273,298.69,307.55,298.5
2013.7.11,299.66,4007101,294.99,300.69,292.1
2013.7.10,292.33,1822057,291.41,293.34,289.4
2013.7.9,291.53,2748223,291,292.57,288.01
2013.7.8,290.59,3045854,286.42,291.67,286.14
2013.7.5,285.88,1985323,285,286.38,282.07
2013.7.3,284.03,1380205,282,285.4,282
2013.7.2,283.73,3237708,281.04,286.58,280.59
2013.7.1,282.1,2887790,279,283.29,277.16
2013.6.28,277.69,3193262,276.19,279.83,276.19
2013.6.27,277.55,2518588,279.18,280.2,274.54
2013.6.26,277.57,3028916,273.98,277.98,273.5
2013.6.25,272.09,2447760,272.3,273.47,269
2013.6.24,270.61,3863364,271.29,273.16,265
2013.6.21,273.36,4202058,274.57,275.84,269.79
2013.6.20,273.44,2983983,275.14,278.6,272.39
2013.6.19,278.16,2827148,281.26,283.34,277.87
2013.6.18,281.76,2124505,279.08,282.91,278.11
2013.6.17,278.06,2883867,276.35,280.2,275.65
2013.6.14,273.99,2150179,275,277.07,273.44
2013.6.13,275.79,2649515,271.5,276.8,270.29
2013.6.12,271.67,2237998,276.6,276.8,270.45
2013.6.11,274.78,3097245,276,278.41,274.24
2013.6.10,281.07,3080473,276.68,282.47,275.24
2013.6.7,276.87,4631159,269.74,280.1,269.13
2013.6.6,267.83,2468870,267.75,270.5,264.21
2013.6.5,267.17,3511955,265.81,271.66,265.02
2013.6.4,265.7,2088072,267,268.88,263.02
2013.6.3,266.88,2543272,268.96,269.11,262.95
2013.5.31,269.2,3373088,266,271.91,265.94
